AAB	Abelag Aviation - Belgium	ABG
LWG	Luxwing - Malta	Luxwing
LWI	Lumiwings - Greece	Lumi
LWL	Lowlevel, Lda - Portugal	Cub Driver
LXA	Luxaviation S.A. - Luxembourg	Red Lion
LXC	CAE Aviation - Luxembourg	Luxvan
LXF	Lynx Air International (Fort Lauderdale, FL) - United States	Lynx Flight
LXG	Luxaviation Germany GmbH, Bueren - Germany	Lux Aviation
LXJ	Flexjet LLC (Richardson, TX) - United States	Flexjet
LXM	Luxaviation Malta - Malta	Luqa
LXP	Transporte Aereo S.A. (Lan Express) - Chile	Lanex
LXR	Sky Prime Malta - Malta	Sky Luxury
LXS	Lynx Servicios Aereos, S.A. de C.V. - Mexico	Lynx Servicios
LXX	Libyan Express for Air Transport - Libya	Libyanexpress
LYB	Lynden Air Cargo - Papua New Guinea	Highlands
LYC	Lynden Air Cargo, LLC - United States	Lynden
LYD	Lydd Air Ltd - United Kingdom	Lyddair
LYF	Lithuanian Air Force Safety Department - Lithuania	Lithuanian Airforce
LYH	Yankee Lima Helicopteres - France	Heliguyane
LYM	Key Lime Air (Englewood, CO) - United States	Key Lime
LYN	Air Kyrgyzstan - Kyrgyzstan	Altyn Avia
LYX	Smartlynx Airlines Malta - Malta	Malta Cat
LZA	Lanza Air, S.L. - Spain	Aerolanza
LZB	Bulgaria Air - Bulgaria	Flying Bulgaria
LZF	Lease Fly, S.A. - Portugal	Skylease
MAA	Aerotransportes Mas de Carga, S.A. de C.V. - Mexico	Mas Carga
MAC	Air Arabia Maroc - Morocco	Arabia Maroc
MAD	Malone Aircharter, Inc - United States	Malone
MAE	Mali Air Luftverkehr Gesellschaft M.B.H. - Austria	Mali Airexpress
MAF	Aerolineas Mas, S.A. - Dominican Republic	Aeromas
MAG	NATO Alliance Ground Surveillance (AGS) - Italy	Magma
MAJ	Mitsubishi Aircraft Corporation - Japan	Me Tack
MAK	Maklee Air - United States	Maklee
MAL	Morningstar Air Inc. - Canada	Morningstar
MAN	Mannion Air Charter, Inc. (Ypsilanti, MI) - United States	Mannion
MAO	Mayo Clinic (Rochester, MN) - United States	Mayo
MAP	Altair Jets, C.A. - Venezuela (Bolivarian Republic of)	Altjets
MAQ	Mac Aviation, S.L. - Spain	Mac Aviation
MAR	Air Mediterranean S.A - Greece	Hellasmed
MAS	Malaysia Airlines Berhad - Malaysia	Malaysian
MAT	Maine Aviation Aircraft Charter LLC (Portland, ME) - United States	Maine-Av
MAU	Air Mauritius Limited - Mauritius	Airmauritius
MAV	Manta Aviation Pvt. Ltd. - Maldives	Sea Wing
MAW	Mustique Airways - Saint Vincent and the Grenadines	Mustique
MAX	Max-Aviation - Canada	Max Aviation
MAY	Malta Air - Malta	Blue Med
MBA	Avag Air GmbH Fur Luftfahrt - Austria	Avag Air
MBB	Air Manas - Kyrgyzstan	Air Manas
MBC	Airjet Exploracao Aerea de Carga, Passageiros e Correios, Lda - Angola	Mabeco
MBE	Martin-Baker Ltd. - United Kingdom	Martin
MBF	Mabe Flights, S.L. - Spain	Mabe Flights
MBG	Zephyr Aviation Ltd - United Kingdom	Chalgrove
MBK	Chrono Jet Inc - Canada	Matblack
MBO	MB Aero - Belarus	Aerobel
MBR	Brazilian Navy Aviation - Brazil	Brazilian Navy
MBS	Mbachi Air/Ground Services Limited - Malawi	Mbachi Air
MBT	Province of Manitoba, Air Services Branch - Canada	Manitoba
MCA	Mediterranean Coastal Airlines Ltd. - Malta	Coastal Clipper
MCC	MCC Aviation (Pty) Ltd - South Africa	Discovery
MCD	Air Medical Ltd - United Kingdom	Air Med
MCE	Marshall Aerospace - United Kingdom	Marshall
MCK	Aeroways - Germany	Maverick
MCL	Medical Aviation Services Ltd - United Kingdom	Medic
MCM	Heli-Air-Monaco - Monaco	Heli Air
MCO	Aerolineas Marcos, S.A. de C.V. - Mexico	Marcos
MCP	Marcopolo Airways - Afghanistan	Marcopolo
MCS	MCS Aerocarga de Mexico S.A. de C.V. - Mexico	Carmex
MCT	Transportacion Aerea del Mar de Cortes, S.A. de C.V. - Mexico	Trans Cortes
MCV	MTC Aviacion, S.A. de C.V. - Mexico	MTC Aviacion
MCW	Aviation Machine Works - Centrafrique (AMW-Centrafrique) - Central African Republic	Machine Works
MCX	Cargo Express - Mauritania	Mauricargo
MCY	Ambulance Air Africa - South Africa	Mercy
MDA	Mandarin Airlines - China	Mandarin
MDB	Vertical Aviation, LLC - United States	Marianas
MDE	Mauritanienne de Transport Aerien - Mauritania	Mauri-Trans
MDF	Swiftair Hellas S.A. - Greece	Med-freight
MDG	Air Madagascar, Societe Nationale Malgache de Transports Aeriens - Madagascar	Air Madagascar
MDI	IAS Medical Ltd - United Kingdom	Medops
MDK	Madikwe Charter CC - South Africa	Madikwe
MDM	Medavia Company Ltd - Malta	Medavia
MDO	Mel Air Limited - Malta	Kuda
MDR	Compania Mexicana de Aeroplanos, S.A. - Mexico	Aeroplanos
MDS	McNeely Charter Services, Inc. (West Memphis, AR) - United States	Mid-South
MDT	Sundt Air A/S - Norway	Midnight
MDW	Flyawesome Limited - Malta	Medwing
MDX	Medair Charter (Pty) Ltd - South Africa	Medair
MEA	Middle East Airlines - Airliban - Lebanon	Cedar Jet
MEC	Mercury Aircourier Service (Salt Lake City, UT) - United States	Mercair
MEF	Air Meridian Limited - Nigeria	Empennage
MEI	Merlin Airways, Inc. (Billings, MT) - United States	Avalon
MEJ	Medjet International, Inc. (Birmingham, AL) - United States	Medjet
MEK	Med-Trans of Florida, Inc. (Tampa, FL) - United States	Med-Trans
MEL	Mega Linhas Aereas - Brazil	Mega Air
MEM	Meridian Ltd - Ukraine	Meridian Cherry
MEN	Mena Aerospace (Bahrain) - Bahrain	Rahal
MER	Methow Aviation, Inc. (East Wenatchee, WA) - United States	Methow
MES	Mesaba Aviation (Grand Rapids, MN) - United States	Mesaba
MET	Meteorological Research Flight - United Kingdom	Metman
MEV	Med-View Airlines (Nigeria) Limited - Nigeria	Med-View
MFA	Martyn Fiddler Associates - United Kingdom	Seahorse
MFB	Mountain Flyers 80 Ltd - Switzerland	Mountainheli
MFC	Moncton Flying Club - Canada	East Wind
MFD	Monarch Air Group, LLC (Ft. Lauderdale, FL) - United States	Freight Dog
MFG	Mid Africa Aviation - Gambia	Mid Africa
MFJ	Solenta Aviation Mozambique SA - Mozambique	Seguro
MFL	Aero McFly, S.A. de C.V. - Mexico	McFly
MFR	Midline Air Freight (Owensboro, KY) - United States	Midline Freight
MFT	Multiflight Ltd - United Kingdom	Yorkair
MFY	Medifly, S.A. de C.V. - Mexico	Medifly Mex
MGA	M G Aviacion S.L. - Spain	Mag Aviacion
MGC	Air Cargo Mongolia - Mongolia	Mongolia Cargo
MGD	Miami Air Lease, Inc. (Miami, FL) - United States	Miami Air
MGE	Aero-Micronesia, Inc. D/B/A Asia Pacific Airlines (Danville, CA) - United States	Magellan
MGF	Trto Agency Ltd. - Malta	Foglia
MGG	Elmagal Aviation Services Co. Ltd - Sudan	Elmagal
MGI	Marghi Air Limited - Nigeria	Marghi
MGL	Mongolian Airlines - Mongolia	Mongol Air
MGM	Transporte Aereo MGM, S.A. de C.V. - Mexico	Aero Emm-Gee-Emm
MGO	Punto Fa S.L. - Spain	Mango
MGP	Arirang Aviation Limited - Bangladesh	Magpie
MGT	Air Attack Technologies - France	Mightyvan
MGW	Mongolian Airways Cargo - Mongolia	Great Mongolian
MGX	Montenegro Airlines - Montenegro	Montair
MHA	Mountain High Aviation (Walla Walla, WA) - United States	Mountain High
MHC	Aero Jomacha, S.A. de C.V. - Mexico	Aero Jomacha
MHD	Yas Air Kish - Iran (Islamic Republic of)	Yas Air
MHF	Maritime Helicotpers (Homer, AK) - United States	Air Maritime
MHK	Al-Naser Airlines - Iraq	Al-Naser
MHL	Meridian Airlines Ltd - Nigeria	Hassimair
MHN	Manhattan Air Limited - United Kingdom	Manhattan
MHO	Mokulele Airlines (Kailua Kona, HI) - United States	Mahalo
MHQ	Skargardshavets Helikoptertjanst Ab (SHT) - Finland	Helicare
MHS	Air Memphis - Egypt	Air Memphis
MHU	Air Memphis - Uganda	Memphis Uganda
MHV	Mhs Aviation GmbH, Gruenwald - Germany	Snowcap
MIA	Mauria, Societe Mauritanienne D'Aviation - Mauritania	Mauria
MIC	Mint Lineas Aereas, S.A. - Spain	Mint Airways
MID	Waters Aero-Marine, Inc. D/B/A Penobscot Island Air (South Thomaston, ME) - United States	Midcoast
MIE	Aero Premier de Mexico, S.A. de C.V. - Mexico	Aeropremier
MIG	Russian Aircraft Corporation - MiG, Federal State Unitary Enterprise - Russian Federation	Mig Avia
MIH	Massy Airlines - Niger	Massyline
MIM	Speedwings France - France	Millesime
MIR	Servicios Aereos Mira, S.A. de C.V. - Mexico	Aeromir
MIS	Bird in a Biplane Ltd - United Kingdom	Artemis
MIT	Flight Line, Inc. (Jackson, MS) - United States	Matco
MIZ	Desarrollo Milaz, S.A. de C.V. - Mexico	Milaz
MJA	Almajara Aviation - Sudan	Majara
MJC	Mandarin Air Co., Ltd - China	Air Manda
MJE	Empire Aviation Group - United Arab Emirates	Emjet
MJF	Mjet GmbH - Austria	Em-Express
MJI	Majestic Jet, Inc. (Ft. Lauderdale, FL) - United States	Majestic Jet
MJN	Royal Air Force of Oman (Air Transport) - Oman	Majan
MJP	Air Majoro S.A. - Peru	Air Majoro
MJR	Midamerica Jet, Inc. (Owensboro, KY) - United States	Major
MJS	Aircharters Worlwide Inc. (Ft. Lauderdale, FL) - United States	Jet Saver
MJT	Madjet-Transportes Aereos, S.A. - Portugal	Madjet
MKA	Moka Airways - Yemen	Moka Air
MKB	Mack Air - Botswana	Greentail
MKG	Air Mekong (Mekong Aviation Joint Stock Company) - Viet Nam	Mekong
MKL	McCall Aviation, Inc. (McCall, ID) - United States	McCall
MKR	Lanmei Airlines (Cambodia) Co., Ltd - Cambodia	Air Lanme
MKU	Island Air (Honolulu, HI) - United States	Moku
MLA	Forty-Mile Air (Tok, AK) - United States	Mile-Air
MLB	Manaf International Airways - Burundi	Manaf
MLD	Air Moldova - Republic of Moldova	Air Moldova
MLE	Moldaeroservice - Republic of Moldova	Moldaero
MLH	Avion Express Malta Ltd - Malta	South Wind
MLI	Mais Linhas Aereas S.A. - Brazil	Demais
MLK	Millennium Air - Nigeria	Nigerjet
MLL	Aeroclub de Mallorca - Spain	Mallorca
MLM	Comlux (Malta) Ltd - Malta	Luxmalta
MLN	Corporate Air, LLC (West Mifflin, PA) - United States	Millennium
MLO	Servicios Aereos Milenio, S.A. de C.V. - Mexico	Milenio
MLS	Mall Airways, Inc. (Albany, NY) - United States	Mall-Airways
MLT	Maleth Aero AOC Ltd - Malta	Maleth
MLU	Zracno Pristaniste Mali Losinj D.O.O. - Croatia	Mali Losinj
MLV	Multiservicios Aereos del Valle, S.A. de C.V. - Mexico	Multi Valle
MLX	Malawi Express Limited - Malawi	Malawi Express
MMA	Myanmar Airways International Co. Ltd - Myanmar	Myanmar
MMD	Air Alsie A/S - Denmark	Mermaid
MME	Multimedia Entertainment Group Air (Pty) Ltd T/A Mega - South Africa	Majestic Air
MMF	NATO Support and Procurement Agency - Netherlands	Multi
MMG	Aereo Ruta Maya - Guatemala	Ruta Maya
MMH	McMahon Helicopter Services, Inc. - United States	Night Rider
MMI	Marina Militare Italiana - Italy	Italian Navy
MMJ	Macau Jet International - China	Macaujet
MML	Hunnu Air - Mongolia	Trans Mongolia
MMM	Meridian Air Company - Russian Federation	Aviameridian
MMN	Pro Airways, LLC (Plymouth, MA) - United States	Minuteman
MMO	Malta Medair - Malta	Malit
MMU	Roadrunair Aviation - United States	Sky Tour
MMY	Iasco Flight Training (Redding, CA) - United States	Marmot
MMZ	Euroatlantic Airways - Portugal	Euroatlantic
MNB	MNG Havayollari Ve Tasimacilik A.S. - Turkey	Black Sea
MND	Corporatejets XXI S.A. - Spain	Cugat
MNG	Aero Mongolia - Mongolia	Aero Mongolia
MNH	Monarch Airlines (Grand Junction, CO) - United States	Monarch Air
MNJ	Menajet - Lebanon	Menajet
MNO	Tulca (Pty) Ltd - South Africa	Tulca
MNT	Montserrat Airways Ltd (T/A Flymontserrat) - United Kingdom	Montserrat
MNU	Elite Airways (Portland, ME) - United States	Mainer
MNV	Mauritanienne Aerienne Et Navale - Mauritania	Navale
MNX	Manx Airlines Ltd. - United Kingdom	Manx
MNY	Mooney Aircraft Corporation (Kerrville, TX) - United States	Mooney Flight
MOD	Aeroclube de Coimbra - Portugal	Mondego
MOL	Taxi Aereo de Morelia, S.A. de C.V. - Mexico	Taxi Morel
MON	Monarch Airlines Ltd. - United Kingdom	Monarch
MOP	APA - Aeropublicitaria de Angola, Lda - Angola	Publicitaria
MOR	Aerolineas de Morelia, S.A. de C.V. - Mexico	Aeromorelia
MOT	Motahida Aviation - Libya	Motahida
MOV	VIM Airlines - Russian Federation	Mov Air
MOW	Mohawk Airlines (Oneonta, NY) - United States	Mohawk Air
MOZ	Salzburgjetaviation GmbH - Austria	Mozart
MPA	Mid-Pacific Airlines, Inc. (Honolulu, HI) - United States	Mid Pac
MPD	Air Comet - Spain	Red Comet
MPE	Canadian North Inc. - Canada	Empress
MPH	Martinair Holland N.V. - Netherlands	Martinair
MPO	Transportes Aereos Amparo, S.A. de C.V. - Mexico	Amparo
MPR	Empire Aviation Services Limited - Nigeria	Honey Bee
MQT	Air ITM - France	Musketeer
MRA	Martinaire (Addison, TX) - United States	Martex
MRC	Martin Companies (Kilgore, TX) - United States	Martrans
MRD	Meridian Air Cargo, Inc. (Meridian, MS) - United States	Meridian
MRE	Namibia Commercial Aviation (Pty) Ltd - Namibia	Med Rescue
MRF	Mauritanienne Air Fret - Mauritania	Maur-Fret
MRH	Marham FTU - United Kingdom	Marham
MRJ	Meraj Airlines - Iran (Islamic Republic of)	Meraj Airline
MRK	Markair Inc. (Anchorage, AK) - United States	Markair
MRN	Missions Gouvernementales Francaises - France	Marianne
MRO	Morrison Flying Service, Inc. (Helena, MT) - United States	Morrison
MRP	Abas - Czech Republic	Abas
MRR	West Isle Air, Inc. (Anacortes, Wa), D/B/A San Juan Airlines - United States	Mariner
MRT	Air Mauritanie - Mauritania	Mike Romeo
MRX	Hermen's Markair Express (St. Mary's, AK) - United States	Speedmark
MRY	Air Marine - France	Air Marine
MRZ	Medical Air Rescue Services (MARS) - Zimbabwe	Mars
MSA	Poste Air Cargo S.r.l. - Italy	Mistral Wings
MSB	Air Stork - Republic of Moldova	Long
MSE	Egyptair Express - Egypt	Egyptair Express
MSF	Minsheng International Jet Co., Ltd. - China	Minsheng
MSG	SAR - Servico Aereo Regional - Mozambique	Sar-Regional
MSH	U S Marshals Service, U.S. Department of Justice (Washington, DC) - United States	Marshalair
MSI	Motor Sich - Ukraine	Motor Sich
MSJ	Magnum Air (Sky Jet), Inc. - Philippines	Magnum Air
MSL	Marsland Aviation - Sudan	Marslandair
MSM	Aeromas - Uruguay	Aeromas Express
MSN	Milenium Air Servicios Aereos Integrados, S.A. de C.V. - Mexico	Milcargo
MSP	Servicio de Vigilancia Aerea del Ministerio de Seguridad Publica - Costa Rica	Seguridad
MSQ	Meta - Mesquita Transportes Aereos Ltda - Brazil	Meta
MSR	Egypt Air - Egypt	Egyptair
MST	Master Top Linhas Aereas Ltda. - Brazil	Master
MSU	MGC Aviation TA Maluti Sky - Lesotho	Maluti Sky
MSX	Egyptair Cargo - Egypt	Egyptair Cargo
MSY	Massey University School of Aviation - New Zealand	Massey
MTA	Mitchell Aero, Inc. D/B/A Gak/Mitchell  Aero, Inc. (Milwaukee, WI) - United States	Gak Aviation
MTB	Aerotaxis Metropolitanos, S.A. de C.V. - Mexico	Aerometropolis
MTD	Metrojets LLC - United States	Matador
MTE	MT Fly - Morocco	Telejet
MTF	Interjet S.r.l. - Italy	Interjet
MTG	Servicios Aereos M.T.T., S.A. de C.V. - Mexico	Aero Tete
MTH	Massachusetts Institute of Technology (Lexington, MA) - United States	Research
MTI	Monterrey Air Taxi, S.A. de C.V. - Mexico	Monterrey Air
MTJ	Metrojet Limited - China	Metrojet
MTK	Air Metack, Lda - Angola	Airmetack
MTL	Raf-Avia - Latvia	Mitavia
MTM	MD Air Ltd - United Kingdom	Metachem
MTN	Mountain Air Cargo, Inc. (Denver, NC) - United States	Mountain
MTO	Marathon Airlines - Greece	Marathon
MTR	Metroflight Inc. (Houston, TX) - United States	Metro
MTS	Med Jets, S.A. de C.V. - Mexico	Medservice
MTU	Middle Tennessee State University (Mtsu) - United States	Blue Raider
MTW	Mauritania Airways - Mauritania	Mauritania Airways
MTX	Multi Taxi, S.A. de C.V. - Mexico	Multitaxi
MUC	Air Munich Aviation AG - Germany	Air Munich
MUI	Trans Air (Honolulu, HI) - United States	Transair
MUN	Aeromundo Ejecutivo, S.A. de C.V. - Mexico	Aeromundo
MUT	Azimut, LLC - Russian Federation	Igavia
MVA	Mississippi Valley Airways, Inc. (Lacrosse, WI) - United States	Valair
MVJ	Mira Vista Aviation, Inc. - United States	Mira Vista
MVK	North Star Aviation - United States	Minn State
MVP	Corporate Air Travel, LLC - United States	Allstar
MVR	Maverick Airways Corporation (Denver, CO) - United States	Mav-Air
MVS	Senok Aviation (Pvt) Ltd - Sri Lanka	Air Senok
MWG	Maswings - Malaysia	Maswings
MWI	Malawian Airlines 2014 - Malawi	Malawian
MWL	Gerlach & Associates, LLC D/B/A Midwest Air Link (Valparaiso, IN) - United States	Midwest Airlink
MWM	Modern Transporte Aereo de Carga S.A. - Brazil	Modernair
MWN	Max Air SA Niger - Niger	Max Niger
MWS	Malta Wings Co. Ltd - Malta	Malta Wings
MWT	Midwest Aviation Division, Inc. (Marshall, MN) - United States	Midwest
MWY	Mauritanienne Air Ways - Mauritania	Mauritanienne
MXD	Malindo Airways Sdn. Bhd. - Malaysia	Malindo
MXE	Mocambique Expresso - Mozambique	Mozambique Express
MXF	Maximum Flight Advantages, LLC (Miamisburg, OH) - United States	Maxflight
MXG	Presidencia de Mexico - Mexico	Presicencia de Mexico
MXM	Maximus Airlines - Ukraine	Maxlines
MXO	Aerotaxi Mexicano, S.A. de C.V. - Mexico	Mexaero
MXP	May Air Xpress, Inc. (El Dorado, AR) - United States	Beechnut
MXQ	Transportes Aereos Mexiquenses, S.A. de C.V. - Mexico	Mexiquenses
MXT	Mexico Transportes Aereos, S.A. de C.V. - Mexico	Transmex
MXX	Merchant Express Aviation - Nigeria	Merchant
MXY	Breeze Airways - United States	Moxy
MYA	Myflug H.F. - Iceland	Myflug
MYD	Maya Island Air - Belize	Myland
MYF	Myflight, S.A. de C.V. - Mexico	My Flight
MYI	Mayair, S.A. de C.V. - Mexico	Mayair
MYK	Beijing Mykylin General Aviation Co., Ltd. - China	Mylin
MYO	Dominguez Toledo, S.A. (Grupo Mayoral) - Spain	Mayoral
MYP	Mann Yadanarpon Airlines Co. Ltd - Myanmar	Mann Royal
MYS	Aero Yaqui Mayo, S.A. de C.V. - Mexico	Aero Yaqui
MYU	My Indo Airlines - Indonesia	Indo
MYW	Myway Airlines Co Ltd - Georgia	My Sky
MYX	Smartlynx Airlines Estonia - Estonia	Tallinn Cat
MZN	Aviation Specialties Unlimited, Inc. - United States	Amazon
MZS	Mahfooz Aviation - Gambia	Mahfooz
MZT	First Mandarin Business Aviation Co., Ltd - China	Zhong Tai
NAA	Norwegian Air Argentina - Argentina	Noruega
NAB	Niger Air Cargo - Niger	Niger Cargo
NAC	Northern Air Cargo, Inc. (Anchorage, AK) - United States	Yukon
NAE	National Airways - Ethiopia	National
NAF	Royal Netherlands Air Force (Koninklijke Luchtmacht) - Netherlands	Netherlands Air Force
NAG	NAEW&C Force E-3A Fleet - Germany	Nato
NAI	Novair - Armenia	Novair
NAK	Enac - France	Enacschool
NAL	Northway Aviation Ltd - Canada	Northway
NAM	Government Air Transport Services (GATS) - Namibia	Nam
NAN	Norwegian Air Norway AS - Norway	Norship
NAO	North American Airlines, Inc. (Jamaica, NY) - United States	North American
NAS	Nasair - Eritrea	Nasairways
NAT	North Atlantic Air, Inc. (Danvers, MA) - United States	Mass Air
NAV	Nav Flight Planning - Czech Republic	Nav Dispatch
NAX	Norwegian Air Shuttle AS - Norway	Nor Shuttle
NAY	Navegacion y Servicios Aereos Canarios, S.A. - Spain	Naysa
NBK	Albarka Air Plc - Nigeria	Al-Air
NBR	Haughey Air Ltd - United Kingdom	Norbrook
NCA	Nippon Cargo Airlines Co., Ltd. - Japan	Nippon Cargo
NCB	North Caribou Flying Service Ltd. - Canada	North Caribou
NCC	T3 Aviation, Inc. - United States	Starfleet
NCG	Nederlandse Kustwacht - Netherlands	Netherlands Coastguard
NCH	Chanchangi Airlines (Nigeria) Limited - Nigeria	Chanchangi
NCJ	North Central Aviation, LLC (St. Paul, MN) - United States	North Central
NCL	ACA-Ancargo Air Sociedade de Transporte de Carga Lda - Angola	Ancargo Air
NCN	Nicon Airways Limited - Nigeria	Nicon Airways
NCO	Natalco Air Lines - Sao Tome and Principe	Natalco
NCP	Capital Airlines Limited - Nigeria	Capital Shuttle
NCR	National Air Cargo Group, Inc. (Ypsilanti, MI) - United States	National Cargo
NCT	Nokscoot Airlines Co. Ltd. - Thailand	Big Bird
NDA	Nordica - Estonia	Nordica Air
NDD	Nordend S.r.l. - Italy	Nordend
NDF	Namibian Defence Force - Namibia	Namibian Airforce
NDJ	Maiba Airways - Chad	Bassamat
NDL	Chrono Aviation Inc. D/B/A Chrono Aviation - Canada	Needle
NDT	ND Aerotaxis, S.A. de C.V. - Mexico	ND Aerotaxis
NDU	University of North Dakota (Grand Forks, ND) - United States	Sioux
NEA	New England Airlines, Inc. (Westerly, RI) - United States	New England
NEC	Necon Air Ltd - Nepal	Necon Air
NEF	Nordflyg Logistik Ab - Sweden	Nordex
NEG	Linea Aerea de Fumig. Aguas Negras S.A. - Chile	Aguas Negras
NEJ	Netjets Business Aviation Limited - China	Net Business
NEN	North-East Airlines Ltd - Nigeria	Northeast Swan
NEP	My Jet Xpress Airlines Sdn Bhd - Malaysia	Warisan
NET	Network Aviation Services (Nig) Ltd - Nigeria	Network
NEW	Northeastern Aviation Corporation - United States	Northeastern
NEX	Northern Executive Aviation Ltd. - United Kingdom	Neatax
NFA	North Flying A/S - Denmark	North Flying
NFE	Nordicflite Oy Ltd - Finland	Nordic Blue
NFL	Northaire Freight Lines Ltd. (Davisburg, MI) - United States	Great Lakes
NFX	Netflix, Inc. - United States	Sunset
NGA	W A A C (Nigeria) Ltd. - Nigeria Airways - Nigeria	Nigeria
NGC	Angoservice, Lda. - Angola	Angoservice
NGF	Air Charity Network (Virginia Beach, VA) - United States	Angel Flight
NGL	Max Air Limited - Nigeria	Maxair Nigeria
NGO	Air-Angol Sociedad Aeronautica, Lda - Angola	Air Angol
NGP	Air Nigeria Plc - Nigeria	Regal Eagle
NGR	Nigerian Air Force - Nigeria	Nigerian Airforce
NGT	Aircompany Armenia - Armenia	Nika
NGV	Angoavia - Angola	Angoavia
NGX	Nigerian Global - Nigeria	Air Global
NHC	Northern Helicopter GmbH, Emden - Germany	Northern
